sample_idx,doc_id,party,year,text,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
96,ParlaMint-NL_2017-06-22-tweedekamer-6.u55,PvdA,2017,"Daar zal ik zo meteen uitgebreid op ingaan, maar het is niet zo dat Europa de nationale bijdrage van de VS gaat overnemen. Als dat mistig is, dan kunnen we dat nu ook meteen ophelderen. Dat gaat niet en dat kan ook niet. De VS moeten zich juist aan hun verantwoordelijkheid houden, omdat ze nu eenmaal de tweede vervuiler wereldwijd zijn. De vervuiling die daar plaatsvindt, kan niet via Europa weggenomen worden.",1,4,2,1,1,1,1
97,ParlaMint-NL_2022-06-23-tweedekamer-7.u157,VVD,2022,"Als liberaal sta ik voor een vrije markt. Ik zeg erbij dat een vrije markt alleen maar kan functioneren met een goede, strenge marktmeester. Daar ontbreekt het op dit moment in heel veel gebieden aan. Ik heb het met mevrouw Beckerman over de banken. Ik heb het met mevrouw Beckerman over de retail en de supermarkten. Vandaaruit zullen echt bijdragen moeten worden geleverd aan het verbeteren van het verdienvermogen van de boeren voor een eerlijke verdeling in de keten. Ik wilde daar net mee beginnen in mijn pleidooi in de richting van minister Staghouwer, want dat is essentieel, ook om draagvlak in de agrarische sector te krijgen en ook om een eerlijk perspectief te bieden aan boeren. We hadden het eerder al over jonge boeren. De heer Bisschop had het over hen. Dat is essentieel om te zorgen dat jonge boeren nog echt enthousiast zijn om in dat mooie vak te stappen en om die bloeiende landbouweconomie te behouden waar Nederland zo om bekend staat.",4,3,1,1,1,1,2
98,ParlaMint-NL_2019-11-19-eerstekamer-8.u80,PvdD,2019,"Voorzitter. Ik wil de minister en de staatssecretaris graag wat praktische oplossingen aanreiken om uit de impasse te geraken. Vorige week is in dit huis met een overgrote meerderheid de motie aangenomen om verdere subsidieverlening op het bijstoken van hout in kolencentrales zo snel mogelijk te beëindigen. Maar dat is nog maar het begin van wat nodig is om de dwaling van de verbranding van biomassa te beëindigen. Steeds meer adviesorganen van de regering komen tot de conclusie dat biomassa helemaal niet schoner is dan het stoken van aardgas of zelfs kolen. Integendeel. Biomassacentrales zijn 20% tot 100% vuiler en bovendien zonder subsidie niet rendabel te maken. Vooral de vele honderden kleine biomassacentrales zonder adequate filtersystemen vormen een gevaar voor de volksgezondheid en de natuur. Met biomassa raken we van de regen in de drup. Het biomassasysteem kent hetzelfde probleem als de Programmatische Aanpak Stikstof: het is leven op de pof, nu stoken en hopen dat we de uitstoot later wel zullen compenseren. Iedereen weet dat het kappen van bomen veel sneller gaat dan het laten groeien van een nieuw bos. De beschikbare biomassa wordt twee tot vier maal overvraagd en daardoor zal er op grote schaal hout moeten worden geïmporteerd om aan de honger van honderden biomassacentrales te voldoen, zonder deugdelijk certificeringssysteem waarmee de herkomst en kwaliteit van die biomassa kan worden vastgesteld. De afgelopen weken zijn wij overspoeld met noodbrieven van natuurbeschermers, niet alleen uit Nederland maar ook uit de Verenigde Staten, die zich ernstige zorgen maken over hun bossen die gekapt worden om bij ons verstookt te worden. Daarom wil ik de beide bewindslieden vragen om in de nieuwe, zojuist gesloten SDE-ronde geen aanvragen voor nieuwe biomassacentrales meer te honoreren en om dat ook te laten gelden voor nieuwe SDE+-rondes. Voorzitter. Een tweede punt van zorg is de uitstoot van stikstof door de veehouderij. Tegelijkertijd schrijft de veehouderij 46% van de landelijke stikstofuitstoot op haar conto. Het kabinet probeert de kool en de geit te sparen door voor te stellen de koeien ander voer te geven, om zo de methaan- en stikstofuitstoot te verminderen, een ingreep die de veehouderij nog onnatuurlijker maakt dan die al was en bovendien niet bewezen is en door boeren sterk wordt bekritiseerd. Datzelfde geldt voor investeringen in zogenaamd milieuvriendelijke stallen.",2,1,3,1,4,2,1
99,ParlaMint-NL_2021-11-10-tweedekamer-7.u27,D66,2021,"Mevrouw Beckerman had het over de mogelijkheid om de betaalbaarheid nog verder te helpen. Zij noemde de huurtoeslag; dat is in de context van dit debat natuurlijk logisch. Die levert inderdaad een belangrijke bijdrage aan de betaalbaarheid van de huren voor huurders. We hebben daar natuurlijk ook niet stil gezeten. Mevrouw Beckerman kent de brief van mijn collega Van Huffelen naar aanleiding van de motie-Lodders over de quick fixes. Daarin staat bijvoorbeeld het voorstel om huurtoeslag mogelijk te maken boven de liberalisatiegrens. Dat soort zaken doen we dus. De maatregelen in de huurtoeslag kosten natuurlijk ook geld. Ook de huurbevriezing en de huurverlaging voor de lage inkomens hebben geld gekost. We moeten dus steeds die precieze afweging maken. Daarom hebben we de woningbouwcorporaties daar weer voor gecompenseerd, want de woningbouwcorporaties moeten ook wel zorgen voor voldoende nieuwbouw, voldoende verduurzaming en überhaupt voor onderhoud aan de woningen die ze hebben. Verdere keuzes hierin acht ik allemaal niet uitgesloten, maar ik vind het als demissionair minister wel lastig om daar nu verder in te gaan dan we gedaan hebben.",4,1,1,1,1,1,1
100,ParlaMint-NL_2021-06-29-eerstekamer-9.u260,VVD,2021,"Ik geloof dat ik de vraag niet helemaal begrijp. Het zijn inderdaad twee aparte zaken. In het besluit dat voorligt, zeggen we dat we een productiebeperking voor kolen instellen. Het kan zijn dat kolencentrales dan doorgaan met biomassa en dat er bovenop doen, want daar zijn nog beschikkingen voor. We geven sinds 2017 geen nieuwe subsidiebeschikkingen meer voor biomassa, maar ze zijn er nog wel. Die optie bestaat wel. Dan krijg je de discussie die we net hadden of dat meetelt in de CO-uitstoot of niet.",1,1,1,1,1,1,1
101,ParlaMint-NL_2018-11-08-tweedekamer-7.u49,PvdA,2018,"Ik zou zeker andere keuzes maken, want wat de minister als goed betitelt, is niet goed genoeg. Er zijn heel veel vacatures. We realiseren ons de duurzaamheidsdoelstelling onvoldoende. Ik zou die generieke lastenverlichting voor het bedrijfsleven koppelen aan duurzaamheidsdoelen, werkgelegenheidsdoelen, scholingsdoelen en innovatiedoelen.",4,1,1,1,1,2,1
102,ParlaMint-NL_2017-01-31-eerstekamer-5.u181,PvdA,2017,"Voorzitter. Terrorisme is een van de meest ernstige schendingen van de rechten van de mens. We hebben een boeiend debat met de minister mogen voeren over de vraag hoe dergelijke flagrante mensenrechtenschendingen te bestrijden, zonder daarbij de mensenrechten zelf disproportioneel te schenden, want dan zouden we het kind met het badwater weggooien. Over die rechterlijke toetsing heb ik een vraag. De minister zei dat die per definitie alleen achteraf mogelijk is bij de bestuursrechter, maar er is een artikel in de Algemene wet bestuursrecht dat voorafgaande rechterlijke toetsing eventueel mogelijk maakt. Waarom heeft de regering die uitzonderingsmogelijkheid niet willen inroepen nu we het er wel over eens zijn dat het vaak maatwerk is en dat een gedifferentieerde behandeling noodzakelijk is?",1,1,1,1,1,1,1
103,ParlaMint-NL_2017-12-20-tweedekamer-3.u4,VVD,2017,"Voorzitter, dank u wel. Verkiezingen en een eindeloos lange formatie, maar inmiddels is Rutte III volop aan de slag, en dat werd ook hoog tijd. Vandaag kijken we naar het lopende jaar, de Najaarsnota als voortgangsrapportage van het begrotingsbeleid. Het goede nieuws is, zoals collega Van Dijck al opmerkte: het gaat lekker in Nederland. Sinds vorig jaar hebben we een begrotingsoverschot en ook dit jaar lijken we weer uit te komen op een mooie plus. De schuld — ook dat werd al even genoemd — ligt ruim onder het gemiddelde in de eurozone.",1,1,1,1,1,1,1
104,ParlaMint-NL_2021-11-30-tweedekamer-28.u12,CDA,2021,Tot slot. Ik lees inderdaad net dat er een kolencentrale extra wordt gesloten. Het is toch mooi om te zien dat ook een demissionair kabinet gewoon klimaatbeleid uitvoert.,1,1,1,1,1,1,1
105,ParlaMint-NL_2022-06-21-tweedekamer-25.u19,VVD,2022,"Voorzitter. Nederland staat hoog op de Europese lijstjes, zelfs boven Engeland en Frankrijk, als het gaat om het aantal start-ups per inwoner. Maar toch missen we dus kansen, zo bleek uit — ik heb het net al gezegd — een recent rondetafelgesprek tussen vertegenwoordigers vanuit de start-upsector en Kamerleden. Het grootste knelpunt is, zoals gezegd, het bieden van meer flexibiliteit aan deze start-ups om nieuwe mensen aan te trekken en te behouden. Voorzitter. Medewerkersparticipatie is niet alleen van belang bij het aantrekken en behouden van mensen.",1,1,1,1,1,1,1
106,ParlaMint-NL_2017-09-14-tweedekamer-6.u27,CDA,2017,"We houden dit debat op een ongemakkelijk moment. Volgende week horen we de plannen van de huidige regering en daarnaast staat een algemeen overleg gepland over de bouwregelgeving en energiebesparing. Daarnaast loopt er natuurlijk nog de coalitievorming, het formatieproces. Dat gezegd hebbend wil ik wijzen op de Staat van de Volkshuisvesting 2017. Daarin is aangegeven dat de investeringen van woningcorporaties en energiebesparende maatregelen toegenomen zijn ten opzichte van de voorgaande jaren.",1,1,2,1,1,1,1
107,ParlaMint-NL_2017-11-22-tweedekamer-3.u3,PVV,2017,"Voorzitter. De overheid is niet helemaal doof gebleken voor de groeiende kritiek vanuit de samenleving op het OS-beleid. Ze heeft een stelsel van prestatie-indicatoren opgezet waaraan de effectiviteit van projecten en beleid getoetst kan worden. Een rookgordijn, want zoals eerder gezegd zijn de ruwe data waaraan wordt getoetst afkomstig van zelfrapportages, aangeleverd door belanghebbende internationale organisaties en ngo’s. Verder zet dit kabinet vol in op het nieuwe verdienmodel dat is bedacht om ontwikkelingshulp vorm te geven. Het gaat er nu om, de effecten van de wereldwijde klimaatverandering tegen te gaan. De PVV zal met extra aandacht kijken naar de uitwerking van het klimaatakkoord van Parijs, waar ontwikkelingslanden zich voorlopig niet aan hoeven houden. Hierin is bovendien afgesproken dat rijke landen vanaf 2020 met een bedrag van 100 miljard dollar per jaar gaan helpen met klimaatgerelateerde investeringen in ontwikkelingslanden. Inmiddels worden ruim 140 landen, waaronder zelfs grote mogendheden als China en India, aangemerkt als ontwikkelingsland. De rekening voor Parijs moet dus in feite opgebracht worden door een klein aantal, slechts 50, rijke landen. Dat geeft al aan dat Nederland, als een van die rijke landen, zwaar de klos zal zijn. U moet van Rutte III dus niet alleen kromliggen voor windmolenparken in de Noordzee, maar ook voor die in Afrika.",4,2,1,1,1,1,3
108,ParlaMint-NL_2019-01-16-tweedekamer-7.u174,D66,2019,"Voorzitter. Dan zijn er nog een aantal bijna overige vragen, om het zo maar te zeggen. Daarbij had ik inderdaad kunnen melden, zoals ik in het begin ook al heb gedaan, dat alleen onbehandeld hout verbrand mag worden en dat dat in de Wet milieubeheer is vastgelegd. Waar het gaat om biomassa, vind ik het inderdaad van belang dat we ons realiseren dat de beschikbare hoeveelheid biomassa beperkt is en dat we ook goede duurzaamheidscriteria moeten stellen aan de biomassa die we gebruiken. Als onderdeel van het conceptklimaatakkoord is aangekondigd dat we aan biomassa duurzaamheidscriteria stellen. Ik wil ook samen met de branche bezien hoe dat kan worden toegepast op hout in houtkachels. De duurzaamheid van biomassa is dus absoluut een aandachtspunt.",1,1,2,1,2,1,1
109,ParlaMint-NL_2018-09-13-tweedekamer-18.u73,CDA,2018,"We willen de provincies helpen door de woningbouw uit de ladder te halen. Dat klinkt wat cryptisch, maar ik zal het uitleggen. In ons land hebben we het zo georganiseerd dat bij alle ruimtelijke besluiten van enige omvang die nieuwe stedelijke ontwikkeling mogelijk maken, de zogenaamde Ladder voor duurzame verstedelijking moet worden toegepast.",1,1,1,1,1,1,1
110,ParlaMint-NL_2018-10-16-tweedekamer-18.u225,VVD,2018,"Ja, maar ik ben geen technocraat. En dat zijn we hier allemaal niet. Je moet in de politiek, zeker als je aan de bestuurlijke kant zit in een coalitie, uiteindelijk ook met beperkte informatie en met beperkte voorspellingsmogelijkheden van wat de wereld om je heen doet, keuzes maken, en daar moet je voor staan.",1,1,1,1,1,1,1
111,ParlaMint-NL_2022-07-11-eerstekamer-3.u383,VVD,2022,"Canada en Nederland zijn in de NAVO zeer gelijkgezind. Canada en Nederland zijn allebei lid van het Non-Proliferation and Disarmament Initiative. Dat is een groep van twaalf landen die meer transparantie bepleit over nucleaire wapens. Om universele waarden als mensenrechten wereldwijd effectief te verdedigen en te bevorderen, is de verdieping en concretisering van de samenwerking zoals in SPA is opgenomen van essentieel belang. Hetzelfde geldt voor andere uitdagingen, zoals behoud van het multilaterale systeem, veiligheid en klimaat.",1,1,1,2,1,1,1
112,ParlaMint-NL_2017-02-21-tweedekamer-37.u22,PvdA,2017,"Voorzitter. Er zijn maar liefst vier moties ingediend op het terrein van de biobrandstoffen: drie van de hand van de heer Dijkstra en een van de hand van de heer Ronnes. In de motie op stuk nr. 523 vraagt de heer Dijksta om in te zetten op biobrandstoffen die aantoonbaar ten minste 60% CO-reductie opleveren, rekening houdend met een wijziging in indirect landgebruik. Kijk, ik ben ook voorstander van het sturen op CO. Ik zou geen knip voor mijn neus waard zijn als ik dat niet was, vanuit mijn verantwoordelijkheid. En ja, we moeten ook de vermindering van de ILUC-effecten in ons beleid opnemen. Ik heb van het begin af aan daarvoor gestaan. Alleen, het is zo dat de Europese regels mij tot 2020 niet de mogelijkheid bieden om onderscheid te maken tussen biobrandstoffen met een hoge of een lage CO-reductie.",1,1,3,1,2,1,1
113,ParlaMint-NL_2017-12-14-tweedekamer-7.u14,VVD,2017,"Past het recept daarbij? Naar mijn opvatting uitstekend. Want dat recept was internationale gerichtheid. Mijn pleidooi is dus — het regeerakkoord schraagt mij daarin — om het speelveld in de gaten te houden. Het heeft geen zin om bedrijven over de grens te jagen. Bedrijven over de grens jagen — er zijn misschien verschillen van opvatting over klimaat in deze zaal — moet niemand fijn vinden, want je bent de arbeidsplaatsen kwijt en de CO-uitstoot gaat door, waarschijnlijk nog erger dan die Nederland was geweest.",4,1,1,1,2,1,1
114,ParlaMint-NL_2018-06-14-tweedekamer-11.u29,VVD,2018,"Voorzitter. Het zou verstandig zijn om in gesprekken met de Fransen — de heer Graus refereerde daaraan — de gemaakte afspraken uit 2004 en de later schriftelijk opgestelde afspraken in 2015, onder andere over het niet verplaatsen van activiteiten, vluchten en banen naar Parijs, te blijven benoemen. Ook de kaspositie moet daarbij benoemd worden.",3,1,1,1,1,1,1
115,ParlaMint-NL_2022-06-22-tweedekamer-4.u49,PVV,2022,"Het is nu twee jaar later. Men heeft natuurlijk niet stilgezeten. In de tussentijd hebben voorstellen het licht gezien voor een Europese gezondheidsunie, een digitale unie, een klimaatunie, een Europees digitaal paspoort, een Europese ruimte voor gezondheidsgegevens, het openen van de onderhandelingen met Albanië en Noord-Macedonië en toetreding van Kroatië tot de eurozone. Voorzitter. Dit kabinet legt de Europese Commissie ook geen strobreed in de weg. Rutte IV lijkt zelfs een actieve campagne te voeren om van ons vetorecht op buitenlandbeleid af te komen. De premier reist zo ongeveer de EU door om de weg te plaveien voor het openen van de toetredingsonderhandelingen met Albanië en Noord-Macedonië en de toetreding van Kroatië tot de eurozone.",1,1,1,1,1,1,1
116,ParlaMint-NL_2021-10-06-tweedekamer-2.u22,VVD,2021,"Dat is een vrije interpretatie van mijn inbreng. Als het gaat om die brede welvaartsmonitor, die niet iedereen in het land zal kennen, dat is eigenlijk een scoreboard met kleurtjes, groen en rood. Volgens mij zitten daar ook nog wat gradaties tussen van hoe je land ervoor staat op verschillende categorieën. We hebben daar vaker dat debat over. Dan vraag ik ook om evenwichtigheid in die brede welvaartsmonitor, want daar zitten zaken in als duurzaamheid et cetera. Maar je hebt vrij weinig aan heel veel bomen in je straat als er achter elke boom een boef staat, dus ik vraag ook altijd aandacht in die brede welvaart voor zaken als veiligheid en migratie, om die erin mee te nemen. Dat is ook onderdeel van mijn betoog. Ik denk dat de heer Van Raan ingaat op duurzaamheid, klimaat et cetera, dat soort thema's. Die zijn ook wat donkerder gekleurd in die monitor. Nou was precies mijn betoog dat we moeten gaan investeren in de verduurzaming van onze economie, in onze nieuwe energie-infrastructuur. Daarin ben ik optimistisch, dat ons dat gewoon gaat lukken en dat we al die indicatoren dus allemaal op groen gaan krijgen.",4,1,1,1,2,1,1
117,ParlaMint-NL_2020-08-19-tweedekamer-3.u24,VVD,2020,"Daarnaast wordt er, als het over die winstbelasting gaat, altijd gezegd dat het om grote bedrijven gaat. Die zitten er ook tussen, maar de heel grote bedrijven regelen het meestal zo dat de winst niet al te zwaar belast wordt en in verschillende landen plaatsvindt. Dit zijn ook gewoon ondernemers en mkb'ers. Dan zeg ik hier alleen maar: zelfs als je ervoor kiest dat niet te doen, wil ik nog steeds niet de indruk wekken dat salarissen in de zorg het beste doel zijn om dat geld in deze economische crisis aan te besteden. Als je een gezin hebt waarbij de man verpleegkundige is en de vrouw werkt bij een privaat bedrijf, bij een ondernemer, een mkb'er, dan denk ik dat zij liever hebben dat wij ervoor zorgen dat de kans het grootste is dat beide banen nog bestaan dan dat we bij voorbaat nu al zeggen dat één baan meer gaat verdienen, maar dat dat misschien wel ten koste gaat van de mogelijkheid om in deze economische crisis, waarvan we nog maar aan het begin staan, bedrijven te helpen erdoorheen te komen, niet om te vallen en banen te behouden.",5,1,1,1,1,2,1
118,ParlaMint-NL_2019-12-16-eerstekamer-6.u17,PVV,2019,"Het is heel duidelijk. Heel veel leerkrachten durven zich niet te uiten, want als je je nek uitsteekt en je hebt het tijdens de les wel over de andere kant van het verhaal, dan word je ter verantwoording geroepen. Zo heb ik vaak meegemaakt dat ik ook de andere kant van een verhaal uitlegde en vertelde. Ik zette vaak een uitzending van Nieuws uit de natuur of een Jeugdjournaalaflevering stil en dan had ik het met de leerlingen erover. Dan werd ik bij de directie ontboden en werd mij verweten dat ik aan politiek deed. Heel veel leerkrachten houden dus hun mond uit angst voor ontslag, of weggewerkt worden. Die gaan dan mee in die stream van politieke correctheid. Dat is mij dus overkomen. Je wilt niet weten wat er gebeurde op het moment dat ik uit de kast kwam als PVV-fractievoorzitter in Groningen.",1,2,1,1,1,1,4
119,ParlaMint-NL_2019-12-17-eerstekamer-3.u84,GroenLinks,2019,"Nee, GroenLinks zegt dat uitstel voor de woningbouw gecontinueerd wordt door deze wet, omdat deze spoedwet niet daadwerkelijk bijdraagt aan het voltrekken van die woningbouw. Ik vind het ook spijtig dat er tijd verknoeid is, zeven maanden en nog veel langer, maar je kunt niet zeggen dat wij niet al bij inwerkingtreding van de PAS gezegd hebben dat we hier zouden komen. Ik vind dat we enig recht van spreken hebben. In de tussentijd zul je niet anders kunnen, totdat er iets is wat effectief is, dan gewoon op de bouwplaats salderen. Dat is heel wel mogelijk, overigens. Het vraagt wat van bouwers, die daar overigens al zeer actief mee bezig zijn. Ik heb het niet over GroenLinks, maar over bouwers en zulke bedrijven. Zorg er daar gewoon voor dat je nul uitstoot hebt of dat de uitstoot die je hebt, gesaldeerd wordt op de bouwplaats.",2,1,1,1,1,1,1
120,ParlaMint-NL_2017-01-24-eerstekamer-8.u108,PvdA,2017,"Ik vat kort samen wat het beoogde effect van dit voorstel is. Ik heb goed geluisterd naar de heer Van der Staaij, die strikt genomen het doel van het voorstel, de bedoeling van de indiener heeft losgeknipt van het overige. Daar wil ik buiten blijven, want dat is niet aan mij. Maar wat we wel kunnen beoordelen, is datgene wat materieel door het voorliggende voorstel wordt beoogd, en dat is feitelijk om de Staten-Generaal te beperken in de mogelijkheid om bij gewone meerderheid akkoord te gaan met een door de regering uitonderhandelde verdragswijziging. Als dit voorstel niet de Grondwet haalt, zou het inderdaad in de huidige praktijk mogelijk zijn dat, nadat 28 regeringen met elkaar onderhandelen en tot een principeakkoord komen met een parlementair voorbehoud, dit akkoord terugkomt en door de Tweede en Eerste Kamer wordt geaccordeerd, waarna het in het Staatsblad verschijnt. Ik denk dat je het effect dat iedereen beoogt, namelijk dat wanneer er een verdragswijziging plaatsvindt, er steun is in de Staten-Generaal voor datgene wat wordt vastgesteld, veel beter kunt bereiken door ervoor te zorgen dat de Nederlandse regering in Brussel onderhandelt met een mandaat dat in beide Kamers der Staten-Generaal is besproken en dat er mondeling en schriftelijk opvattingen worden meegegeven door de Staten-Generaal aan de regering die namens Nederland de onderhandelingen voert. Dat gebeurt ook. Ik denk dat je veel eerder in dat traject moet stappen. Laten we eerlijk zijn: als 28 landen al te veel voorbehouden gaan maken over een verdrag dat in principe is gesloten, komt er op een gegeven moment nooit meer een verdrag.",1,1,1,1,1,1,1
121,ParlaMint-NL_2022-04-06-tweedekamer-3.u27,GroenLinks,2022,"Voorzitter. Een tweetal moties, de eerste over de luchtvaart. Zeker in het licht van het IPCC-rapport van afgelopen maandag, waarbij eigenlijk alle seinen op rood staan, we nóg veel harder af moeten van fossiele brandstoffen en CO moeten reduceren, kunnen we ons niet permitteren om nog langer gratis rechten te verlenen aan een luchtvaart die al op allerlei andere manieren de wind mee heeft.",2,1,4,1,1,4,1
122,ParlaMint-NL_2021-01-19-eerstekamer-9.u519,PVV,2021,"Ik hoor de heer Frentrop van Forum voor Democratie eigenlijk zeggen: we willen liever helemaal geen mogelijkheid voor een referendum dan in ieder geval een beperkte mogelijkheid voor een referendum, maar dan wel een heel zware mogelijkheid, namelijk een volksveto. Het volk kan een veto uitspreken over een wet. Er zit weliswaar een hoge drempel in, maar de mogelijkheid is er. Nu zegt Forum: we willen liever de komende vier jaar helemaal geen mogelijkheid voor een referendum. Zou het niet veel beter zijn om nu, zoals door onder andere de heer Nicolaï is beredeneerd, die stap toch te zetten, zodat in ieder geval deze mogelijkheid er is, deze voet tussen de deur er is, en te kijken naar aanvullingsmogelijkheden, met raadplegende, raadgevende, raadplegende en initiërende referenda, om dat in ieder geval aan te kunnen vullen?",1,1,1,1,1,1,1
123,ParlaMint-NL_2021-01-08-eerstekamer-3.u303,CDA,2021,"Nee. Het systeem is er. Ik zie ook geen oerwoud. Ik weet echt niet precies waar die gedachte vandaan komt. Ik zie wel een oerwoud van praatprogramma's, tweets en meningen.",1,1,1,1,1,1,1
124,ParlaMint-NL_2019-01-24-tweedekamer-5.u67,GroenLinks,2019,"In de Klimaatwet die door de grote meerderheid hier in de Kamer wordt gesteund, hebben we afgesproken dat in 2050 95% van de CO-uitstoot is afgenomen. Het gaat niet goed met de natuur. We moeten de klimaatverandering stoppen en we hebben een visie van de minister die stelt dat de Nederlandse landbouw een kringlooplandbouw moet worden. De weigering van de minister en de coalitie om nu al werk te maken van de vermindering van het aantal dieren in Nederland doet me denken aan de discussie over het klimaatbeleid. Ik vertel deze verhalen omdat GroenLinks gelooft in kleine stappen die een hoger liggend doel, namelijk een echt duurzame en diervriendelijke veehouderij, dichterbij kan brengen, stap voor stap. Sommige partijen zeggen: je moet niet investeren in die kleine stapjes, want dat is verspilling van tijd en moeite. Maar ik geloof er wel in. Albert Heijn heeft veel werk gemaakt van het sterrenkeurmerk voor vlees. Hoe kan de minister ervoor zorgen dat supermarkten alleen nog maar producten met een of meer sterren gaan verkopen? Oftewel: hoe kan de ondergrens omhoog? Wat is de stand van zaken rondom de Wet ruimte voor duurzaamheidsinitiatieven?",1,2,2,1,3,2,2
125,ParlaMint-NL_2021-04-01-tweedekamer-3.u1182,CDA,2021,We moeten een aantal dingen uit elkaar trekken. De heer Azarkan verwijst terecht nog een keer naar die verschrikkelijke toeslagenaffaire. Toen heb ik ook steeds gezegd dat ik vond dat die voor het hele kabinet aftredenswaardig was. Dat vind ik overigens nog steeds. Dat is een. Twee. Ik heb samen met mevrouw Kaag gemeend dat dit een motie van afkeuring rechtvaardigt. Dat is wat anders dan een motie van wantrouwen die je dan zou indienen tegen een demissionair minister-president die niet in die capaciteit heeft opgetreden in dit formatieproces.,1,1,1,1,1,1,1
126,ParlaMint-NL_2019-12-03-eerstekamer-9.u54,FvD,2019,"Voorzitter. Ik word helemaal tureluurs van de wispelturigheid van het CDA. Nu wil men misschien over een tijdje wel weer kolencentrales. Biomassa werkt niet, begrijp ik.",1,1,1,1,1,1,2
127,ParlaMint-NL_2019-12-17-tweedekamer-47.u254,PVV,2019,"Dit debat gaat ook eigenlijk helemaal niet meer over de vraag waar dat hele klimaatbeleid nu eigenlijk goed voor is. Wij zeggen luid en duidelijk: het is nergens goed voor. Maar als je daar wel degelijk in gelooft, moet je je toch afvragen wat voor logica het is dat een heel klein land als Nederland vijf luttele kolencentrales gaat sluiten, terwijl ze in China met honderden tegelijk worden bijgebouwd. Maar daar gaat het debat blijkbaar niet over. De klimaattrein dendert voort. Het moet allemaal maar doorgaan. We zitten nu ook met een vreselijke Green Deal, die maar liefst 260 miljard euro per jaar gaat kosten.",4,1,1,1,1,1,3
128,ParlaMint-NL_2017-06-01-tweedekamer-3.u97,PvdA,2017,"Eén. Vrijhandelsverdragen moeten bijdragen aan het behalen van de klimaatdoelstellingen van Parijs. Ze moeten bijdragen aan het terugdringen van de armoede, zoals we dat internationaal hebben afgesproken in de duurzame ontwikkelingsdoelen. Twee. Er moet veel transparanter over onderhandeld worden. Voor Nederland betekent dat dat ik heb voorgesteld, en inmiddels ook heb ingesteld, het Breed Handelsberaad, waarin we van gedachten wisselen met een brede coalitie van belanghebbenden, van Greenpeace tot VNO-NCW. We willen hen daarin meenemen. Drie. We moeten veel beter oog hebben voor de verliezers van globalisering. Dat kunnen ook sectoren zijn. Ik vind dat altijd een beetje vaag, want wat is een sector? Het gaat vooral om mensen. Als je dat allemaal bij elkaar pakt, zie je dat wij ons zeer inzetten voor wat de Kamer heeft ingebracht over het belang van duurzaamheid, klimaat, arbeidsnormen en transparantie.",2,3,1,1,1,1,1
129,ParlaMint-NL_2019-10-02-tweedekamer-3.u88,GroenLinks,2019,"Voorzitter. Het eerste is net zo belangrijk: de ideeënstrijd, het verschil duidelijk maken. En ook hier werd ik wel vrolijk en optimistisch. Het lijkt erop dat we op een keerpunt staan. Vanaf de jaren tachtig, Reagan, Thatcher, Lubbers, hebben deregulering, privatisering en marktwerking het overheidsbeleid gedomineerd. Die zouden leiden tot economische groei en welvaart voor iedereen. Overal in de westerse wereld staat het dogma van de vrije markt als wondermiddel van gedeelde welvaart nu en in de toekomst ter discussie. Van Amerikaanse CEO's die zich nu druk gaan maken over andere stakeholders dan alleen de aandeelhouders, tot instituten als het IMF of media als de Financial Times, die zich zorgen gaan maken over de toenemende ongelijkheid of de opwarming van de aarde. Trickle down economics werkt blijkbaar niet, of niet vanzelf, en klimaatverandering houdt niet zomaar op.",4,2,1,1,1,1,1
130,ParlaMint-NL_2022-04-20-tweedekamer-5.u6,PvdD,2022,"O, ik vergeet nog twee heel technische punten door te geven, voorzitter. Excuses! Ik wil twee aangehouden moties in stemming laten brengen. Ik zal even de Kamerstukken noemen, zodat iedereen weet dat die in stemming komen: de motie op stuk nr. 49 (35925-XII) over concrete extra stappen om de uitstoot van ultrafijnstof terug te dringen, en de tweede is de motie op stuk nr. 50 (35925-XII) over bij houtstook de focus leggen op ontmoediging.",1,1,1,1,2,1,1
131,ParlaMint-NL_2018-05-31-tweedekamer-10.u182,VVD,2018,"Ik dank opnieuw de woordvoerders voor de uitgesproken steun voor de ingezette lijn. De heer Sjoerdsma heeft van mij nog een antwoord tegoed op de vraag of er voorbeelden zijn van eerdere aansprakelijkheidsstellingen van Rusland en de reactie daarop. Een aansprakelijkheidsstelling komt niet vaak voor tussen twee landen. Er is sprake geweest van een procedure die Canada is begonnen vanwege het neerstorten van een Russische satelliet die schade veroorzaakte op Canadees grondgebied. Daar heeft wel betaling plaatsgevonden door de Russische Federatie, maar is geen aansprakelijkheid geaccepteerd. Uit het verder inderdaad niet zo grote palet van aansprakelijkheidsstellingen tussen landen heb ik geen andere voorbeelden van de Russische Federatie, behalve dan het voorbeeld waar de heer Sjoerdsma zelf ook al op wees. Dat loopt nog. Dat is het schip van Greenpeace.",1,1,1,1,1,1,1
