original_index,party,year,source_file,pages,text,relevance_reason,climate_topics,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization,dominant_frame,dominant_frame_score,n_frames_present,has_parse_failure
80,cda,2010,cda-2010.pdf,85-89,"Nederland is geen eiland. Globalisering betekent dat alles wat er in de wereld gebeurt, ons hier in Nederland raakt. Buitenland is binnenland en andersom. Uitdagingen zoals milieuvervuiling, migratie, veiligheid, economische groei, vrede en",Noemt milieuvervuiling als globale uitdaging die Nederland raakt,milieuvervuiling,2,1,1,2,1,1,1,economic,2,0,False
81,cda,2010,cda-2010.pdf,91-93,"In een tijd van zich opstapelende crises en mondiale uitdagingen op het gebied van voedsel- en energieschaarste, conflicten en negatieve gevolgen van klimaatverandering blijkt des temeer het belang van een internationale oriëntatie van Nederland. Daarmee is internationale samenwerking vandaag de dag niet meer alleen gefundeerd in morele verplichtingen en solidariteit, maar dient het ook een welbegrepen eigenbelang. De rijke landen en de ontwikkelingslanden hebben een gemeenschappelijke en wederzijdse verantwoordelijkheid om de grote mondiale problemen waarmee wij worden geconfronteerd op te lossen. De grote mondiale vraagstukken vragen om een gezamenlijke aanpak en inzet van expertise van duurzaam beheer van de gemeenschappelijke goederen van klimaat, veiligheid, voedselvoorziening, natuurlijke hulpbronnen en migratie.",Beschrijft klimaatverandering als mondiale uitdaging die internationale samenwerking vereist en noemt klimaat als gemeenschappelijk goed dat duurzaam beheerd moet worden,"klimaatverandering, internationale samenwerking, duurzaam beheer",2,4,1,2,2,3,2,moral,4,2,False
82,cda,2010,cda-2010.pdf,91-93,"Nederland moet daarbij focussen en investeren op terreinen waar Nederlandse instellingen en bedrijven veel kennis en expertise te bieden hebben: landbouw, voedselvoorziening, water en sanitatie, schone (alternatieve) energie, opbouw van de rechtsstaat en de internationale strijd tegen aids.",Noemt schone alternatieve energie als specialisatiegebied voor Nederlandse ontwikkelingssamenwerking,"alternatieve energie, schone energie, ontwikkelingssamenwerking",2,1,1,1,1,1,1,economic,2,0,False
83,cda,2010,cda-2010.pdf,91-93,Het CDA staat een ontwikkelingssamenwerkingbeleid voor waarbij naast de focus op de Nederlandse expertise en innovatieve technologieën een grote nadruk komt te liggen op de in de ontwikkelingslanden zelf aanwezige inventiviteit en aan klimaat- en samenlevingsstructuren aangepaste technologieën.,Benadrukt het belang van aan klimaat aangepaste technologieën in ontwikkelingssamenwerking,"klimaatadaptatie, klimaattechnologie, ontwikkelingssamenwerking",2,1,1,1,1,1,1,economic,2,0,False
84,cda,2010,cda-2010.pdf,91-93,"Binnen het ontwikkelingsbudget moet een sterke focus zijn op voedselproductie, water en milieu, duurzaamheid, landbouw, biodiversiteit en duurzame energie. De middelen moeten daarbij geconcentreerd worden ingezet, gebruikmakend van innovatieve technologieën en expertise, zoals die in Nederland aanwezig zijn.",Stelt duurzame energie als prioriteit binnen ontwikkelingssamenwerking en benadrukt inzet van Nederlandse expertise op dit gebied,"duurzame energie, duurzaamheid, ontwikkelingssamenwerking",2,1,1,1,2,1,1,economic,2,0,False
85,cda,2010,cda-2010.pdf,94-98,"Deze financiële crisis staat echter niet op zichzelf. De financiële crisis hangt immers nauw samen met andere crises: de voedsel-, energie-, grondstoffen- en ecologische crisis. Steevast gaan achter deze crises keuzes en handelingen schuil waarin de verantwoordelijkheid voor de ander en voor de schepping is miskend.",Noemt expliciet de ecologische crisis als onderdeel van de bredere crisiscontext en koppelt dit aan verantwoordelijkheid voor de schepping,"ecologische crisis, energiecrisis",1,4,1,1,2,2,1,moral,4,1,False
86,cda,2012,cda-2012.pdf,10-14,"Stap voor stap naar een 'groene economie': groene investeringsmaatschappij, extra investeren in Green Deals, duurzame energie, energiezuinige woningen en gebouwen.",Dit is een direct beleidsbod voor de transitie naar een groene economie met investeringen in duurzame energie en energiezuinige gebouwen.,"groene economie, duurzame energie, energiezuinige woningen, Green Deals",3,1,1,1,1,1,1,economic,3,1,False
87,cda,2012,cda-2012.pdf,24-28,"Grensoverschrijdende thema's als energie, asiel en migratie, voedselzekerheid duurzaamheid, buitenlands beleid, defensie en het actief bestrijden van corruptie binnen de EU zijn andere Europese prioriteiten.","Energie wordt genoemd als grensoverschrijdend Europees prioriteitsthema, wat relevant is voor klimaatbeleid en energietransitie","energie, Europese samenwerking",1,1,1,2,1,1,1,security,2,0,False
88,cda,2012,cda-2012.pdf,27-30,"Om grote mondiale uitdagingen aan te pakken — zoals het duurzaam beheren van natuurlijke hulpbronnen, klimaat, veiligheid, voedselvoorziening, waterbeheer en migratie – zal Nederland een actieve rol moeten spelen.",Klimaat wordt expliciet genoemd als een van de grote mondiale uitdagingen die Nederland moet aanpakken,"klimaat, internationale samenwerking",1,1,1,2,1,2,1,security,2,0,False
89,cda,2012,cda-2012.pdf,30-34,"Er moet volop ruimte komen voor het opwekken van duurzame energie, op (inter)nationaal niveau en op kleine schaal. We moeten ook ons energieverbruik verminderen, door beter te bouwen en schoner te rijden en efficiënter te produceren. Van een ouderwetse economie die grondstoffen en goederen verbruikt, moeten we omschakelen naar een kringloopeconomie waarin grondstoffen en materialen worden bewaard en hergebruikt.","Behandelt duurzame energie, energieverbruik vermindering en transitie naar kringloopeconomie als klimaatmaatregel","duurzame energie, energieverbruik, kringloopeconomie, energietransitie",2,1,1,1,2,1,1,economic,2,0,False
90,cda,2012,cda-2012.pdf,30-34,Wij kiezen voor groei die in alle opzichten duurzaam en innovatief is Wij willen Nederland sterk houden en onze wereld mooi en vruchtbaar achterlaten voor volgende generaties. Wij zijn samen verantwoordelijk voor onze leefomgeving. Onze keuzes doen er maatschappelijk toe. Wij steunen de aanjagende rol van maatschappelijke organisaties om Nederland van een wegwerpeconomie om te vormen tot een kringloopeconomie.,Stelt duurzame groei en transitie naar kringloopeconomie centraal als maatschappelijke verantwoordelijkheid,"duurzame groei, kringloopeconomie, duurzaamheid",1,3,1,1,1,1,1,moral,3,1,False
91,cda,2012,cda-2012.pdf,34-37,"Nederland moet de komende decennia investeren in de transitie naar een koolstofarme, duurzame economie. Op weg naar de koolstofarme en duurzame economie in 2050 zijn heldere doelstellingen nodig. Om de klimaatverandering te beperken tot minder dan 2% steunt het CDA de Europese doelstelling om de uitstoot van broeikasgassen met 80 tot 95% te verminderen ten opzichte van 1990. Investeren in hernieuwbare energie en energiebesparing is het antwoord op de uitdagingen van energiezekerheid en klimaatverandering. Kolencentrales en kernenergie zijn op de lange termijn niet meer nodig. Voor het CDA is het emissiehandelssysteem (ETS) een belangrijk instrument in de verduurzaming van de economie. Het CDA zet in op aanscherping van het emissiehandelssysteem, waarbij uitgegaan wordt van een gelijk speelveld.","Dit beschrijft de klimaatdoelstellingen van het CDA, broeikasgasreductie en het gebruik van het emissiehandelssysteem als klimaatinstrument.","koolstofarme economie, klimaatverandering, broeikasgasreductie, hernieuwbare energie, ETS",4,2,3,2,2,2,2,economic,4,2,False
92,cda,2012,cda-2012.pdf,34-37,Wij gaan alles op alles zetten voor 8% duurzame energie in 2016 en 14% duurzame energie en 20% CO2 reductie in 2020. Dit is ook van belang voor energiezekerheid. Het gebruik van restwarmte van bedrijven en energiecentrales door de aanleg van warmtenetten is één van de vormen van alternatieve energievoorziening waaraan de overheid prioriteit geeft.,Dit bevat concrete doelstellingen voor CO2-reductie en duurzame energie als onderdeel van klimaatbeleid.,"duurzame energie, CO2-reductie, energietransitie, restwarmte",2,1,2,3,2,2,1,security,3,1,False
93,cda,2012,cda-2012.pdf,34-37,Wij zijn groot voorstander van het stimuleren van decentrale energieopwekking en duurzame energieopslag. Er worden experimenten uitgevoerd rond het ruimer salderen (ook voor de meter) van decentraal opgewekte duurzame energie met het oog op het ontwikkelen van een goede algemene regeling op termijn. Energiecoöperaties kunnen hierbij een rol spelen Ook voor VVE's worden belemmeringen weggenomen.,Dit beschrijft beleid voor decentrale duurzame energieopwekking als onderdeel van de energietransitie.,"decentrale energie, duurzame energie, energietransitie",2,1,1,1,1,1,1,economic,2,0,False
94,cda,2012,cda-2012.pdf,34-37,Private investeringen in verduurzaming willen wij aantrekkelijker maken. Wij pleiten voor lokale en regionale fondsen voor energiebesparing. Gemeenten en provincies zorgen voor de cofinanciering en stimuleren kleinschalige energieopwekking.,Dit beschrijft financiering van energietransitie en verduurzaming door private investeringen en lokale fondsen.,"energiebesparing, kleinschalige energie, klimaatfinanciering",2,1,1,1,1,1,1,economic,2,0,False
95,cda,2012,cda-2012.pdf,34-37,Voor nieuwbouwwoningen worden strengere normen gehanteerd voor energie-efficiency. Door middel van green deals is versterking van duurzame bouw mogelijk. Tevens wil het CDA betere energie-efficiency voor bestaande woningen bevorderen. Woningcorporaties krijgen de mogelijkheid om investeringen voor energiebesparing aan de huurder door te berekenen waarbij het voordeel van de lagere energierekening aan de huurder toevalt. De stimuleringsregeling voor duurzame energie (SDE+) wordt versterkt.,Dit beschrijft energiebesparingsmaatregelen in de gebouwde omgeving en de SDE+ regeling als onderdeel van klimaat- en energiebeleid.,"energie-efficiency, duurzame bouw, energiebesparing, SDE+",2,1,2,1,2,1,2,economic,2,0,False
96,cda,2012,cda-2012.pdf,34-37,De overheid helpt bij het realiseren van duurzame energie-projecten door betere procedures en regelgeving. Vergunningverlening dient niet onnodig belemmerend te werken.,Dit beschrijft overheidssteun voor duurzame energieprojecten als onderdeel van de energietransitie.,"duurzame energie, energietransitie",2,1,1,1,1,1,1,economic,2,0,False
97,cda,2012,cda-2012.pdf,36-39,"Het CDA wil meer laadpunten voor elektrische auto's, zodat deze duurzame ontwikkeling wordt gestimuleerd.",Betreft stimulering van elektrische mobiliteit als duurzame ontwikkeling ter reductie van emissies,"elektrische mobiliteit, duurzame ontwikkeling, emissie-reductie",2,1,1,1,1,1,1,economic,2,0,False
98,cda,2012,cda-2012.pdf,36-39,Het CDA is voorstander van een duurzame bereikbaarheid. Daarbij past de stimulering van het gebruik van de fiets.,Betreft duurzame mobiliteit en stimulering van emissie-arme vervoerswijzen,"duurzame mobiliteit, fiets, emissie-reductie",1,1,1,1,1,1,1,economic,1,0,False
99,cda,2012,cda-2012.pdf,36-39,"De binnenvaart verzorgt 25% van ons binnenlandse transport. Deze groene wijze van vervoer ontlast onze wegen. De binnenvaart wordt gestimuleerd door het bevorderen van schonere motoren, het openhouden van (kleine) vaarwegen, het stimuleren van overslagfaciliteiten naar weg en spoor en aandacht voor ligplaatsvoorzieningen.",Betreft stimulering van groene vervoerswijze en schonere motoren ter reductie van transport-emissies,"groene mobiliteit, binnenvaart, schonere motoren, transport-emissies",2,1,1,1,1,1,1,economic,2,0,False
100,cda,2012,cda-2012.pdf,36-39,"Wij ondersteunen de initiatieven in de sector die verder gaan dan wettelijke eisen op het gebied van duurzaamheid, zoals Beter Leven Kenmerk, Kas als Energiebron en Duurzame Zuivelketen.",Betreft ondersteuning van duurzaamheidsinitiatieven waaronder Kas als Energiebron wat direct gerelateerd is aan energietransitie,"duurzaamheid, kas als energiebron, energietransitie",1,1,2,1,2,1,1,scientific,2,0,False
101,cda,2012,cda-2012.pdf,39-42,"Wij kiezen voor een Europees landbouwbeleid met aandacht voor de toekomstige uitdagingen (tekorten aan voedsel, energie en grondstoffen). We moeten beter en slimmer produceren met minder gebruik van energie en grondstoffen.",Pleit voor efficiënter energiegebruik en grondstoffenverbruik in de landbouw,"energie-efficiëntie, grondstoffengebruik, duurzame landbouw",2,1,1,1,2,1,1,economic,2,0,False
102,cda,2012,cda-2012.pdf,39-42,Het telen van gewassen die enkel dienen als fossiele brandstof is in dit kader geen wenselijke bijdrage en dient daarom op geen enkele wijze te worden gestimuleerd.,Neemt expliciet positie in tegen het stimuleren van gewassen voor fossiele brandstoffen,"fossiele brandstoffen, biomassa, landbouwbeleid",1,1,1,1,1,1,2,weaponization,2,0,False
103,cda,2012,cda-2012.pdf,63-68,"Wij stimuleren via de belasting ""werken"" en ""vergroenen"". Wij investeren structureel in innovatie, onderwijs en duurzaamheid.",Beleidsdoelstelling om vergroening te stimuleren via belastingbeleid en structurele investeringen in duurzaamheid,"vergroening, duurzaamheid, klimaatbelasting",4,1,1,1,1,1,1,economic,4,1,False
104,cda,2012,cda-2012.pdf,82-85,"Decentrale energieopwekking: energieopwekking die niet meer centraal plaatsvindt door grote energiecentrales, maar door burgers of bedrijven, meestal kleinschalig en op duurzame wijze.",Definitie van decentrale energieopwekking als onderdeel van energietransitie,"decentrale energieopwekking, energietransitie, duurzame energie",1,1,1,1,1,1,1,economic,1,0,False
105,cda,2012,cda-2012.pdf,82-85,Emissiehandelssysteem: Handelssysteem in emissierechten. Emissierechten geven landen of bedrijven het recht om bepaalde broeikasgassen of andere schadelijke gassen uit te stoten.,Definitie van klimaatbeleidsinstrument voor emissiereductie,"emissiehandelssysteem, broeikasgassen, emissierechten",1,1,1,1,1,1,1,economic,1,0,False
106,cda,2012,cda-2012.pdf,82-85,"Green Deal: De Green Deal helpt burgers, bedrijven, gemeenten en andere partijen bij het realiseren van duurzame initiatieven. Bijvoorbeeld voor grondstoffen en water (waaronder biodiversiteit), mobiliteit, energie en energiebesparing",Definitie van Green Deal als klimaat- en duurzaamheidsbeleidsinstrument,"Green Deal, duurzame initiatieven, energie, energiebesparing",1,1,1,1,2,1,1,health_environment,2,0,False
107,cda,2012,cda-2012.pdf,82-85,"Restwarmte: energie in de vorm van warmte die vrij komt bij energieomzetting, bijvoorbeeld bij industriële processen, die vaak verloren gaat.",Definitie van restwarmte als onderdeel van energiehergebruik in energietransitie,"restwarmte, energiehergebruik, energieomzetting",1,1,1,1,1,1,1,economic,1,0,False
108,cda,2012,cda-2012.pdf,82-85,"Salderen: Het verrekenen van de zelf opgewekte energie die aan het elektriciteitsnet wordt teruggeleverd tegen de verbruikte energie, waardoor er geen energiebelasting over de opgewekte energie betaald wordt. Salderen achter de meter: salderen door 1 opwekker/verbruiker met 1 aansluiting die de energie op eigen terrein opwekt. Salderen achter de meter: salderen door een collectief van opwekkers/verbruikers met meerdere aansluitingen.",Definitie van saldering als financieel instrument voor eigen duurzame energieopwekking,"salderen, eigen energieopwekking, duurzame energie",1,1,1,1,1,1,1,economic,1,0,False
109,cda,2012,cda-2012.pdf,82-85,SDE+: Stimuleringsregeling voor Duurzame Energie,Definitie van overheidsregeling voor stimulering hernieuwbare energie,"SDE+, duurzame energie, hernieuwbare energie",2,1,1,1,1,1,1,economic,2,0,False
110,cda,2017,cda-2017.pdf,19-22,"Lokale investeringen van burgers en bedrijven in breedband, schone energie of de economie kunnen nieuwe kansen bieden.",Vermeldt schone energie als investering voor krimpregio's,"schone energie, lokale investeringen",3,1,1,1,1,1,1,economic,3,1,False
111,cda,2017,cda-2017.pdf,34-37,"Kerntaken Veiligheid, klimaat, energie, vluchtelingenbeleid en economische stabiliteit zijn voor ons de belangrijkste taken van de Europese Unie. Dat zijn de dossiers waarop dringend een gezamenlijke Europese aanpak nodig is om het vertrouwen in de Europese Unie te herstellen en de toekomst van de Unie als waardengemeenschap te borgen.",Klimaat wordt expliciet genoemd als kerntaak van de EU die een gezamenlijke Europese aanpak vereist,"klimaatbeleid, Europese samenwerking",1,2,1,3,1,3,1,security,3,2,False
112,cda,2017,cda-2017.pdf,36-39,"Internationale samenwerking draagt bij aan de veiligheid in de wereld, daar en hier. De noodzaak om bij te dragen aan stabiliteit en ontwikkeling in andere landen is nog onverminderd groot en wij willen blijvend solidair zijn met die mensen die in grote nood verkeren; de media tonen ons de gevolgen van klimaatverandering, honger, ziekte en andere humanitaire rampen.",Vermeldt klimaatverandering als oorzaak van humanitaire rampen en noodzaak voor internationale ontwikkelingssamenwerking,"klimaatverandering, internationale samenwerking",1,4,1,2,2,3,1,moral,4,2,False
113,cda,2017,cda-2017.pdf,38-44,"In de wetenschap dat door de groei van de bevolking in Afrika, de instabiliteit en terreur in de wereld en de gevolgen van de klimaatverandering, de migratiedruk in de komende decennia alleen maar zal toenemen, zijn naast het bestrijden van de oorzaken nieuwe internationale afspraken nodig.",Noemt klimaatverandering als oorzaak van toekomstige migratiedruk en stelt dat dit aanpak vereist,"klimaatverandering, migratie",1,2,2,3,3,3,2,security,3,3,False
114,cda,2017,cda-2017.pdf,75-80,"Een eerlijke economie is ook een duurzame economie, waar ondernemerschap loont en groei en bedrijvigheid de toekomst van onze kinderen versterken in plaats van belasten. Dat is wat rentmeesterschap betekent. Wij nemen afstand van de wegwerpcultuur waarin mensen, de natuur en natuurlijke hulpbronnen na gebruik worden afgedankt. Wij nemen afstand van de jachtige 24-uurseconomie, waarin alles draait om kopen en consumeren.",Beschrijft een duurzame economische visie die natuurlijke hulpbronnen beschermt en afstand neemt van wegwerpcultuur en overconsumptie,"duurzaamheid, natuurlijke hulpbronnen, circulaire economie",3,3,1,1,2,1,2,economic,3,2,False
115,cda,2017,cda-2017.pdf,79-82,"Een duurzame toekomst vraagt om een forse investering in de economie en infrastructuur van ons land. Om dat mogelijk te maken richten we een ontwikkelingsbank voor Technologie, Innovatie & Duurzaamheid op als aanjager voor de verandering. Deze bank kan geld aantrekken op de kapitaalmarkt en daarmee kunnen we onder meer alle woningen, bedrijven en gebouwen voor het jaar 2035 duurzaam isoleren, wijk voor wijk en straat voor straat. Isolatie van gebouwen is namelijk een van de meest effectieve manieren om de uitstoot van CO2 terug te dringen. De overheid, bedrijven en corporaties staan voor een gezamenlijke opdracht om deze transitie in te vullen. Een dergelijke ontwikkelingsbank kan ook fungeren als aanjager van de (kennis) economie en verschaffer van kapitaal voor vernieuwende concepten vanuit het MKB. Verbetering van het milieu én de economie gaan daarbij hand in hand.",Bevat concrete plannen voor CO2-reductie door gebouwisolatie met een specifieke doelstelling voor 2035,"CO2-reductie, gebouwisolatie, energietransitie, duurzame investeringen",4,3,3,1,3,2,2,economic,4,4,False
116,cda,2017,cda-2017.pdf,79-82,"Om onze energievoorziening te verduurzamen zetten we in op energiebesparing en CO2-reductie en investeren we in de opwekking van duurzame energie. Op grond van de klimaatafspraken in Parijs wordt ook van Nederland een extra inspanning gevraagd. Er moet een geloofwaardig nationaal meerjarenplan komen om deze doelstellingen ook daadwerkelijk te behalen. We spannen ons in voor grensoverschrijdende samenwerking met andere (EU)landen, zodanig dat de gezamenlijke middelen meer verduurzaming opleveren. Wij verwelkomen lokale initiatieven voor duurzame energie. Bij windenergie verdient het de voorkeur dat de omwonenden daar zelf profijt van hebben, bijvoorbeeld door een lagere energierekening of een jaarlijkse investering in de lokale gemeenschap. Ook wanneer windmolens die met subsidie zijn neergezet na afloop van de subsidieperiode met winst worden doorverkocht, vloeit een deel van de opbrengst terug naar de samenleving. Dergelijke winsten kunnen ook via de nieuwe ontwikkelingsbank opnieuw worden geïnvesteerd in innovatieve projecten voor hernieuwbare energie. Gemeenten dienen over de bevoegdheden te beschikken om hierbij een cruciale rol te spelen, onder meer door in hun omgevingsplannen in samenwerking met betrokken partijen waaronder de netbeheerder en woningcorporaties voorwaarden te kunnen stellen aan de keuze voor de toekomstige energie infrastructuur. Teneinde het draagvlak voor hernieuwbare energie te bevorderen wil het CDA de opbrengst van de energieheffing op lokaal duurzaam opgewekte energie in de gemeente houden en niet naar de Rijksschatkist laten vloeien. De salderingsregeling blijft bestaan: de fiscale regels voor het zelf opwekken van schone energie door burgers en het MKB blijven bestaan en geven hen daarmee de ruimte om volop te participeren in de energietransitie.",Uitgebreid plan voor verduurzaming energievoorziening met verwijzing naar Parijs-akkoord en concrete beleidsmaatregelen,"energietransitie, CO2-reductie, hernieuwbare energie, windenergie, Parijs-akkoord, energiebesparing",3,3,3,2,2,2,2,economic,3,3,False
117,cda,2017,cda-2017.pdf,82-84,Teneinde het draagvlak voor hernieuwbare energie te bevorderen wil het CDA de opbrengst van de energieheffing op lokaal duurzaam opgewekte energie in de gemeente houden en niet naar de Rijksschatkist laten vloeien. De salderingsregeling blijft bestaan: de fiscale regels voor het zelf opwekken van schone energie door burgers en het MKB blijven bestaan en geven hen daarmee de ruimte om volop te participeren in de energietransitie.,"Betreft beleid voor hernieuwbare energie, salderingsregeling en energietransitie","hernieuwbare energie, energietransitie, duurzame energie, salderingsregeling",2,1,1,1,1,1,2,economic,2,0,False
118,cda,2017,cda-2017.pdf,82-84,"In de nieuwe geopolitieke verhoudingen in de wereld schromen energieleverende landen niet om de levering van gas, elektriciteit of olie in te zetten als drukmiddel. Nederland dient daarom de eigen leveringszekerheid in de toekomst te garanderen. Dat kan deels door de transitie naar lokale duurzame bronnen, maar zal de komende jaren ook moeten door een goede spreiding van de import van fossiele brandstoffen: minder fossiel uit meer landen, om de afhankelijkheid van een land als Rusland te beperken. De gaswinning krijgt een extra functie, namelijk die van buffer om leveringszekerheid te bieden.","Behandelt energieafhankelijkheid, transitie naar duurzame bronnen en fossiele brandstoffen in geopolitieke context","leveringszekerheid, duurzame bronnen, fossiele brandstoffen, energietransitie, geopolitieke energieafhankelijkheid",2,1,1,4,1,2,2,security,4,1,False
119,cda,2017,cda-2017.pdf,84-86,Doorontwikkeling naar schonere luchtvaart en binnenvaart met nieuwe technologie is daarbij essentieel om het milieu en de luchtkwaliteit te beschermen.,Verwijst naar doorontwikkeling van schonere transport technologieën voor milieubescherming,"schone technologie, luchtvaart, milieubescherming",1,1,1,1,3,1,1,health_environment,3,1,False
120,cda,2017,cda-2017.pdf,93-95,Bovendien is het duurzamer als voedsel minder afstand hoeft af te leggen tussen producent en consument.,Betreft CO2-reductie door kortere transportafstanden van voedsel,"CO2-reductie, duurzame landbouw, transport",1,1,1,1,2,1,1,health_environment,2,0,False
121,cda,2017,cda-2017.pdf,97-100,"Woningbouwcorporaties belonen voor energiezuinig bouwen De woningbouwcorporaties blijven werken aan het herstel van vertrouwen van hun huurders en van de samenleving als geheel. Slechte investeringen, buitensporige beloningen en gevaarlijk derivatenbeleid hebben het vertrouwen flink geschaad. Er is en blijft behoefte aan een sterke corporatiesector dus zetten we volop in op het herstel van","Dit betreft beleid om woningbouwcorporaties te belonen voor energiezuinig bouwen, wat direct bijdraagt aan energietransitie in de gebouwde omgeving.","energietransitie, energiezuinig bouwen, woningbouw",1,1,1,1,1,1,2,weaponization,2,0,False
122,cda,2017,cda-2017.pdf,99-102,"Om de woningbouwcorporaties niet verder te beknotten in hun investeringsruimte, en daarmee de wachtlijsten actief te bestrijden, kan de verhuurdersheffing verlaagd worden, op voorwaarde dat de investeringen gericht zijn op het bouwen van, en het renoveren tot, energiezuinige woningen.",Dit betreft een beleidsvoorstel om energiezuinige woningbouw te stimuleren via fiscale prikkels,"energietransitie, energiezuinig bouwen",2,1,2,1,2,1,1,economic,2,0,False
123,cda,2021,cda-2021.pdf,1-6,Rentmeesterschap in duurzaamheid en klimaat,Direct verwijst naar klimaat als beleidsprioriteit van het CDA,"klimaatbeleid, duurzaamheid",1,1,1,1,1,1,1,economic,1,0,False
124,cda,2021,cda-2021.pdf,1-6,"Wij investeren in de economie van morgen met een ambitieuze en duurzame toekomstagenda voor innovatie, technologie en de ontwikkeling van nieuwe regio's.",Verwijst naar duurzame toekomstagenda als onderdeel van economische investeringsstrategie,"duurzaamheid, innovatie",4,1,1,1,1,1,1,economic,4,1,False
125,cda,2021,cda-2021.pdf,1-6,"Omdat we kunnen kiezen voor een eerlijkere, betere en duurzame toekomst.",Benadrukt duurzaamheid als kernkeuze voor de toekomst van Nederland,duurzaamheid,1,3,1,1,1,1,1,moral,3,1,False
126,cda,2021,cda-2021.pdf,7-10,"Corona is een ongekende crisis die ons allemaal raakt. In de economie, in de samenleving, maar zeker ook in de wereld om ons heen. De opdracht om ons land uit de crisis te leiden is groot en komt bovenop de grote vraagstukken die er voor corona al lagen: het klimaat, de vergrijzing, migratie en de polarisatie van de samenleving. Niet eerder kreeg één generatie zoveel urgente keuzes voorgelegd als de generaties van nu.",Positioneert klimaat als een van de grote urgente vraagstukken naast corona,"klimaat, urgente keuzes",2,1,1,1,1,3,1,crisis_urgency,3,1,False
127,cda,2021,cda-2021.pdf,7-10,"Wij maken serieus werk van de vergroening en verduurzaming van ons land. Met een groene en schone leefomgeving, investeringen in schone energie en vermindering van uitstoot dragen we bij aan de doelen van Parijs. Wij betrekken burgers vooraf bij grote besluiten en bieden ruimere regelingen voor investeringen in isolatie en energiebesparing aan je eigen huis.","Direct klimaatbeleid met verwijzing naar Parijs-akkoord, schone energie en CO2-reductie","vergroening, verduurzaming, schone energie, uitstoot, Parijs-akkoord, energiebesparing, isolatie",2,2,2,1,2,2,2,economic,2,0,False
128,cda,2021,cda-2021.pdf,7-10,Wij pakken het woningtekort aan door in heel het land in de komende tien jaar een miljoen betaalbare en duurzame woningen te bouwen. Een kwart van de nieuwbouw is bestemd voor starters en jongeren en we bieden meer variatie in het woningaanbod voor ouderen.,Belooft duurzame woningbouw als onderdeel van klimaatbeleid,"duurzame woningen, duurzaamheid",1,1,1,1,1,1,1,economic,1,0,False
129,cda,2021,cda-2021.pdf,10-13,Thuiswerken bleek in de coronacrisis veel voordelen te hebben. In het verkeer zorgde het bovendien voor minder files en uitstoot. Daarom stimuleren wij thuiswerken voor beroepen waarin dat mogelijk is. Afspraken over het combineren van kantoor- en thuiswerk en flexibele werktijden worden opgenomen in de cao's. Daarbij mag de soms negatieve invloed van thuiswerken op het sociale aspect van werken niet uit het oog worden verloren.,Beleid om thuiswerken te stimuleren met als expliciete motivering vermindering van uitstoot in het verkeer,"uitstoot, mobiliteit, thuiswerken",1,1,2,1,3,1,1,health_environment,3,1,False
130,cda,2021,cda-2021.pdf,10-13,Ook willen wij maatregelen die de extra uitgaven voor energiebesparing en isolatie in de eigen woning voor burgers betaalbaar houden.,Beleid om energiebesparing en woningisolatie betaalbaar te houden voor burgers,"energiebesparing, woningisolatie, energietransitie",3,1,1,1,1,1,2,economic,3,1,False
131,cda,2021,cda-2021.pdf,16-19,"De maatschappelijke diensttijd is al voor duizenden deelnemende jongeren een succes. Daarom willen wij dat deze diensttijd verder wordt ontwikkeld tot een landelijk dekkend en duurzaam netwerk voor alle jongeren tussen de 16 en 20 jaar, genaamd de nationale diensttijd. Jongeren gaan met elkaar aan de slag en leren hoe mooi en belangrijk het is om je in te zetten voor een ander en de samenleving. Dat kan bij Defensie maar ook bij maatschappelijke projecten op het terrein van zorg, welzijn, veiligheid, sport, natuur en klimaat.",Klimaat wordt expliciet genoemd als een van de terreinen waarop jongeren zich kunnen inzetten tijdens de nationale diensttijd,"klimaat, maatschappelijke diensttijd",1,1,1,1,2,1,1,health_environment,2,0,False
132,cda,2021,cda-2021.pdf,37-41,"We investeren in een krachtig economisch herstel, repareren de fouten van doorgeschoten beleid en maken tegelijk de omslag naar een sterke, eerlijke en innovatieve economie. In een sterke economie zijn bedrijven beter voorbereid op de volgende crisis. We beperken de schulden en bouwen aan nieuwe buffers. We investeren in duurzaamheid en schone energie. We beschermen cruciale sectoren en waar nodig halen we de productie en de maakindustrie terug om minder afhankelijk te zijn van internationale ketens.",Bevat expliciete vermelding van investeringen in duurzaamheid en schone energie als onderdeel van economisch herstel,"duurzaamheid, schone energie, energietransitie",4,1,1,3,2,1,2,economic,4,2,False
133,cda,2021,cda-2021.pdf,37-41,"De innovatieve economie vraagt om versnelde omschakeling naar moderne en duurzame verdienmodellen voor de toekomst. Met investeringen in kennis en vakmanschap, hoogwaardige infrastructuur en innovatie versterken we de economie, pakken we nieuwe kansen en breiden we onze voorsprong in tal van sectoren uit. We komen met een omvangrijk herstel- en innovatiepakket voor investeringen in de woningbouw, infrastructuur, maatschappelijk vastgoed, digitalisering, innovatie en duurzaamheid.",Benoemt versnelde omschakeling naar duurzame verdienmodellen en investeringen in duurzaamheid als onderdeel van innovatiepakket,"duurzaamheid, energietransitie, klimaatinvesteringen",4,1,1,1,1,1,1,economic,4,1,False
